00 d6 03 69 20 5e 09 f5 bd 1d 1a ad d5 11 80 bd ec 1c 36 62 5a e4 b1 0b 2a 55 69 ef c6 9d c3 db 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\CREATEWITHDLL\WITHDLL.CPP
01 fe 77 79 51 93 6a fd 61 4b bf 0a 77 8b 70 39 bb 2d 24 2f 8a 62 50 1b 74 a2 cb 90 e5 56 ae af 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\APIHOOK\DEBUG\MT.DEP
03 7f 8e 7f 76 95 3e 6e 96 f1 37 fc 05 cf b1 e4 5b e1 2c c4 8d 4a 85 e7 97 00 48 1d 1d 2b 88 c2 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\WINSPY_PACKAGE\INJECTEX_SRC\INJCODE.H
03 ad fc 1b 8b a4 b6 3c 9e b8 14 29 dc a8 c8 99 f2 74 d6 06 c3 a5 dd 48 a2 a8 22 6e c6 e2 79 6b 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\WINSPY_PACKAGE\INJECTEX_SRC\INJECTEX.DSP
04 1d cf 05 25 7a 93 90 cd df 33 a1 b7 12 ec 7c ad ee 7d 6e dd eb dd 3b 17 12 66 e9 33 e1 1f 55 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\DEBUG\APIHOOK.DLL
04 f9 20 13 26 28 7a 03 82 c0 f2 69 bf 98 2d d4 3c 39 2f 69 37 dd fd 82 20 22 6d c1 5a 93 a7 f3 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\DETOURBYADDR\DETOURBYADDR.VCPROJ.TEST.ADMIN.USER
05 05 ac 66 ca 68 4d cc f5 48 78 02 d3 cf d5 43 5e 00 f7 b8 37 e0 90 8f 2c ff c8 e9 63 ad bd f4 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\WINSPY_PACKAGE\HOOKSPY_SRC\HOOKSPY.DSW
08 77 27 5f f3 80 fa 42 2a a9 df 62 03 24 64 8d 3c 39 2f 69 37 dd fd 82 20 22 6d c1 5a 93 a7 f3 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\MSNDETOURDLL\MSNDETOURDLL.VCPROJ.TEST.ADMIN.USER
08 f4 46 e4 f2 8a c9 be 9a 89 cf 28 2b c2 0c cd 26 59 9d 05 76 22 36 f8 cd 29 d1 a0 90 da db 58 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\WSHOOK\WSHOOK.CPP
09 0a 80 c3 02 c3 57 3a 20 60 92 3b 25 d1 85 e8 10 54 02 f5 4a bc b0 8d 54 f5 28 50 3a 86 49 be 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\WINSPY_PACKAGE\HOOKINJEX_SRC\HOOKINJEX\HOOKINJEX.RC
